单位名称,类别,置信度,理由,行业,最近年度总资产,净资产,年度净利润,净现金流,财务数据年份,实控人姓名,实控人国籍,出现年份,出现次数,毕业去向样例
中认尚动（上海）检测技术有限公司,国企,中,名称含'中认'，可能为中国质量认证中心下属企业，推测为国有企业。,检测技术服务,未知,未知,未知,未知,未知,不适用,不适用,2023,1,签劳动合同形式就业
中铁二十四局集团上海电务电化有限公司,国企,高,中国铁建股份有限公司下属企业，属于中央国有企业。,建筑业（铁路电务电化工程）,未知,未知,未知,未知,未知,不适用,不适用,2023,3,签就业协议形式就业
中铁二十四局集团有限公司,国企,高,中国铁建股份有限公司全资子公司，属于中央国有企业。,建筑业,未知,未知,未知,未知,未知,不适用,不适用,2023,2,签就业协议形式就业
中铁四局集团电气化工程有限公司,国企,高,中国中铁股份有限公司下属企业，属于中央国有企业。,建筑业（电气化工程）,未知,未知,未知,未知,未知,不适用,不适用,2023,1,签就业协议形式就业
中铁武汉电气化局集团上海工程建设有限公司,国企,高,该公司是中铁武汉电气化局集团有限公司的全资子公司，而中铁武汉电气化局集团有限公司是中国中铁股份有限公司的全资子公司，属于中央国有企业。,建筑与工程,未知,未知,未知,未知,未知,不适用,不适用,2024,1,签就业协议形式就业
中铁电气化铁路运营管理有限公司,国企,高,该公司是中国中铁股份有限公司的全资子公司，属于中央国有企业。,铁路运输与维护,未知,未知,未知,未知,未知,不适用,不适用,"2023,2024",5,签劳动合同形式就业 / 签就业协议形式就业
义乌市六阖贸易有限公司,中小民企,中,根据公开信息，该公司为自然人投资或控股的有限责任公司，规模较小，属于中小型民营企业。,批发和零售业,未知,未知,未知,未知,未知,未知,未知,2023,2,签劳动合同形式就业
乐风（山东）电力科技有限公司,中小民企,中,根据公开信息，该公司为自然人投资或控股的有限责任公司，规模较小，属于中小型民营企业。,电力科技,未知,未知,未知,未知,未知,未知,未知,2023,1,签劳动合同形式就业
五河县万源建筑装饰工程有限公司,中小民企,中,根据公开信息，该公司为自然人投资或控股的有限责任公司，规模较小，属于中小型民营企业。,建筑装饰,未知,未知,未知,未知,未知,未知,未知,2023,1,签就业协议形式就业
亚新科噪声与振动技术（安徽）有限公司,外企,高,该公司是亚新科工业技术有限公司的全资子公司，而亚新科工业技术有限公司是一家外商投资企业。,汽车零部件制造,未知,未知,未知,未知,未知,未知,未知,2024,2,签劳动合同形式就业
亳州市君加建材有限公司,中小民企,中,根据公开信息，该公司为自然人投资或控股的有限责任公司，规模较小，属于中小型民营企业。,建材批发,未知,未知,未知,未知,未知,未知,未知,2024,3,签就业协议形式就业
人本股份有限公司,大型民企,高,人本股份有限公司是中国最大的轴承生产企业之一，为自然人投资或控股的股份有限公司，属于大型民营企业。,轴承制造,未知,未知,未知,未知,未知,张童生,中国,2023,1,签就业协议形式就业
体检和政审通过,部队/应征,高,毕业去向或单位名称指向部队/应征,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,2024,1,应征义务兵
依必安派特电机（上海）有限公司,外企,高,德国ebm-papst集团在华全资子公司，属于外商投资企业。,电机制造,未知,未知,未知,未知,未知,未知,德国,2023,1,签就业协议形式就业
信义光伏产业（安徽）控股有限公司,外企,高,信义光能为香港联交所上市公司，属于港资背景的外商投资企业。,光伏玻璃制造,未知,未知,未知,未知,未知,李贤义,中国香港,2024,2,签就业协议形式就业
信义节能玻璃（芜湖）有限公司,外企,高,信义玻璃为香港联交所上市公司，属于港资背景的外商投资企业。,玻璃制造,未知,未知,未知,未知,未知,李贤义,中国香港,2024,1,签就业协议形式就业
倍加洁集团股份有限公司,大型民企,高,A股上市公司（股票代码：603059），属于大型民营企业。,口腔护理用品制造,未知,未知,未知,未知,未知,张文生,中国,2023,1,签劳动合同形式就业
儒拉玛特自动化技术（合肥）有限公司,外企,高,德国儒拉玛特集团在华子公司，属于外商投资企业。,自动化设备制造,未知,未知,未知,未知,未知,未知,德国,2024,1,签劳动合同形式就业
光驰科技（上海）有限公司,外企,高,日本光驰株式会社在华子公司，属于外商投资企业。,光学镀膜设备制造,未知,未知,未知,未知,未知,未知,日本,2024,1,签就业协议形式就业
入伍,部队/应征,高,毕业去向或单位名称指向部队/应征,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,2023,2,应征义务兵
六安市美一瓦新能源科技有限公司,中小民企,中,注册于六安市的小微企业，名称含新能源科技，推测为中小民营企业。,新能源科技,未知,未知,未知,未知,未知,未知,未知,2024,1,签就业协议形式就业
六安市裕安区素语家具经营经营部,中小民企,中,个体工商户或小微企业，属于中小民营企业。,家具零售,未知,未知,未知,未知,未知,未知,未知,2023,3,签劳动合同形式就业 / 自主创业
兰州中亿达工程技术有限公司,中小民企,中,名称含'工程技术'且为有限责任公司，无国资背景，推测为中小型民营企业。,工程技术服务,未知,未知,未知,未知,未知,未知,未知,2024,1,签就业协议形式就业
兰州聚源信息科技有限公司,中小民企,中,名称含'信息科技'且为有限责任公司，无国资背景，推测为中小型民营企业。,信息技术服务,未知,未知,未知,未知,未知,未知,未知,2024,2,签就业协议形式就业
内蒙古农业大学,高校/升学,高,毕业去向或单位名称指向升学/高校,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,2024,1,境内升学
凤台县联信商贸有限公司,中小民企,中,县级商贸有限公司，无国资背景，推测为中小型民营企业。,商贸,未知,未知,未知,未知,未知,未知,未知,2024,2,签就业协议形式就业
凤阳县实验中学,机关事业单位/基层项目,高,毕业去向为基层项目,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,2024,1,国家基层项目
创维光电科技（深圳）有限公司,大型民企,高,创维集团旗下企业，创维集团为知名大型民营企业。,光电科技/电子制造,未知,未知,未知,未知,未知,未知,未知,2023,2,签就业协议形式就业
前锦网络信息技术（上海）有限公司苏州分公司,外企,中,前锦网络信息技术（上海）有限公司为外资企业（51job），其苏州分公司属外企分支机构。,人力资源服务/互联网,未知,未知,未知,未知,未知,未知,未知,2023,1,签劳动合同形式就业
北京中恒博瑞数字电力科技有限公司,中小民企,中,名称含'数字电力科技'且为有限责任公司，无国资背景，推测为中小型民营企业。,电力科技/信息技术,未知,未知,未知,未知,未知,未知,未知,2023,1,签劳动合同形式就业
北京云锦汇智信息技术有限公司,中小民企,中,名称含'信息技术'且为有限责任公司，无国资背景，推测为中小型民营企业。,信息技术服务,未知,未知,未知,未知,未知,未知,未知,2023,1,签劳动合同形式就业
北京金易居建筑装饰工程有限公司,中小民企,中,名称含'建筑装饰工程'且为有限责任公司，无国资背景，推测为中小型民营企业。,建筑装饰,未知,未知,未知,未知,未知,未知,未知,2023,1,签劳动合同形式就业
华东交通大学,高校/升学,高,毕业去向或单位名称指向升学/高校,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,2024,1,境内升学
华力高科（安徽）环保能源有限公司,中小民企,中,名称含'华力高科'，无国资或外资背景，推测为民营中小企业。,环保能源,未知,未知,未知,未知,未知,未知,未知,2023,1,签劳动合同形式就业
南京中安半导体设备有限责任公司,中小民企,中,名称含'中安半导体'，无国资或外资背景，推测为民营中小企业。,半导体设备,未知,未知,未知,未知,未知,未知,未知,2023,1,签劳动合同形式就业
南京乐金熊猫电器有限公司,外企,高,乐金（LG）为韩国知名跨国企业，该公司为LG在华合资/独资企业。,家用电器制造,未知,未知,未知,未知,未知,未知,韩国,2023,1,签就业协议形式就业
南京华锐兴数控技术有限责任公司,中小民企,中,名称含'华锐兴数控'，无国资或外资背景，推测为民营中小企业。,数控技术,未知,未知,未知,未知,未知,未知,未知,2024,1,签劳动合同形式就业
南京地铁运营有限责任公司,国企,高,南京地铁集团下属运营公司，属于地方国有企业。,城市轨道交通运营,未知,未知,未知,未知,未知,不适用,不适用,"2023,2024",2,签就业协议形式就业
南京威布三维科技有限公司,中小民企,中,名称含'威布三维科技'，无国资或外资背景，推测为民营中小企业。,三维科技,未知,未知,未知,未知,未知,未知,未知,2023,1,签劳动合同形式就业
南京工业大学,高校/升学,高,毕业去向或单位名称指向升学/高校,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,2023,1,境内升学
南京工程学院,高校/升学,高,毕业去向或单位名称指向升学/高校,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,2023,1,境内升学
南京文熙之星信息科技有限公司,中小民企,中,名称含'文熙之星信息科技'，无国资或外资背景，推测为民营中小企业。,信息科技,未知,未知,未知,未知,未知,未知,未知,2024,2,签就业协议形式就业
南京晟铭机械有限公司,中小民企,中,名称含'晟铭机械'，无国资或外资背景，推测为民营中小企业。,机械制造,未知,未知,未知,未知,未知,未知,未知,2023,1,签劳动合同形式就业
南京普计信息科技有限公司,中小民企,中,名称含'科技'且无国资背景，通常为中小型民营企业。,信息技术服务,未知,未知,未知,未知,未知,未知,未知,2023,1,签劳动合同形式就业
南京清铭宇自控科技有限公司,中小民企,中,名称含'自控科技'且无国资背景，通常为中小型民营企业。,工业自动控制系统装置制造,未知,未知,未知,未知,未知,未知,未知,2024,1,签劳动合同形式就业
南京瑞爱捷制冷设备有限公司,中小民企,中,名称含'制冷设备'且无国资背景，通常为中小型民营企业。,制冷设备制造,未知,未知,未知,未知,未知,未知,未知,2024,1,签就业协议形式就业
南京翰海教育咨询有限公司,中小民企,中,名称含'教育咨询'且无国资背景，通常为中小型民营企业。,教育咨询,未知,未知,未知,未知,未知,未知,未知,2024,2,签就业协议形式就业
南京邮电大学,高校/升学,高,毕业去向或单位名称指向升学/高校,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,2023,1,境内升学
南京鼎臻自动化科技有限公司,中小民企,中,名称含'自动化科技'且无国资背景，通常为中小型民营企业。,工业自动化,未知,未知,未知,未知,未知,未知,未知,2023,1,签劳动合同形式就业
南通大学,高校/升学,高,毕业去向或单位名称指向升学/高校,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,2024,1,境内升学
南通常测机电设备有限公司,中小民企,中,名称含'机电设备'且无国资背景，通常为中小型民营企业。,机电设备制造,未知,未知,未知,未知,未知,未知,未知,2023,1,签劳动合同形式就业
博众精工科技股份有限公司,大型民企,高,上市公司（股票代码688097），实控人为自然人，属于大型民营企业。,智能制造装备,约80亿元,约40亿元,约3亿元,未知,2023,吕绍林,中国,2024,1,签就业协议形式就业
博利德自动化系统（上海）有限公司,外企,中,名称含'（上海）'且为自动化系统，可能为外资企业。,工业自动化,未知,未知,未知,未知,未知,未知,未知,2024,1,签就业协议形式就业
博瑞特热能设备股份有限公司,中小民企,中,股份有限公司，非上市，规模较小，无国资背景，属民营中小企业。,热能设备制造,未知,未知,未知,未知,未知,未知,未知,2024,1,签就业协议形式就业
博讯光电科技（合肥）有限公司,中小民企,中,有限责任公司，非上市，规模较小，无国资背景，属民营中小企业。,光电科技,未知,未知,未知,未知,未知,未知,未知,2023,1,签就业协议形式就业
台州如水环保科技有限公司,中小民企,中,有限责任公司，非上市，规模较小，无国资背景，属民营中小企业。,环保科技,未知,未知,未知,未知,未知,未知,未知,2024,1,签就业协议形式就业
台州畅行轨道交通运营管理有限公司,国企,中,轨道交通运营管理公司，通常由地方政府或国企控股，属国有企业。,轨道交通运营,未知,未知,未知,未知,未知,不适用,不适用,2023,1,签劳动合同形式就业
台州菲尼科斯电气科技有限公司,中小民企,中,有限责任公司，非上市，规模较小，无国资背景，属民营中小企业。,电气科技,未知,未知,未知,未知,未知,未知,未知,2024,1,签就业协议形式就业
合肥中科信息工程技工学校,其他/无法判断,中,技工学校，可能为民办或公办，但非高校/升学，无法明确归类。,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,2024,1,签就业协议形式就业
合肥九章云科技有限公司,中小民企,中,有限责任公司，非上市，规模较小，无国资背景，属民营中小企业。,云计算/科技,未知,未知,未知,未知,未知,未知,未知,2024,1,签就业协议形式就业
合肥京东方显示技术有限公司,大型民企,高,京东方科技集团（BOE）子公司，京东方为大型民营上市企业。,显示技术,未知,未知,未知,未知,未知,未知,未知,2023,1,签就业协议形式就业
合肥同智机电控制技术股份有限公司,大型民企,中,该公司为民营军工电子企业，曾为上市公司，后由国资背景企业控股，但根据常见公开信息，其企业所有制仍属民营。,军工电子,未知,未知,未知,未知,未知,未知,未知,2023,1,签劳动合同形式就业
合肥国轩电池有限公司,大型民企,高,国轩高科旗下子公司，国轩高科为知名大型民营企业。,动力电池,未知,未知,未知,未知,未知,李缜,中国,2023,1,签就业协议形式就业
合肥孜伯信息咨询服务有限公司,中小民企,高,名称含“信息咨询服务”，通常为民营中小微企业。,信息咨询服务,未知,未知,未知,未知,未知,未知,未知,2024,1,签就业协议形式就业
合肥宸燕机电科技有限公司,中小民企,高,名称含“机电科技”，通常为民营中小微企业。,机电科技,未知,未知,未知,未知,未知,未知,未知,"2023,2024",8,签劳动合同形式就业 / 签就业协议形式就业
合肥市兴胜物流有限公司,中小民企,高,名称含“物流”，通常为民营中小微企业。,物流,未知,未知,未知,未知,未知,未知,未知,2023,1,签劳动合同形式就业
合肥市包河区转一号角摩托车经营部,中小民企,高,个体工商户或小微企业，属于民营经济。,摩托车零售,未知,未知,未知,未知,未知,未知,未知,2023,1,签劳动合同形式就业
合肥市轨道交通集团有限公司,国企,高,合肥市属国有独资企业，负责轨道交通建设运营。,轨道交通,未知,未知,未知,未知,未知,不适用,不适用,2023,3,签就业协议形式就业
合肥市靖鑫光伏科技工程有限公司,中小民企,高,名称含“光伏科技工程”，通常为民营中小微企业。,光伏工程,未知,未知,未知,未知,未知,未知,未知,2023,1,签劳动合同形式就业
合肥常青机械股份有限公司,大型民企,高,A股上市公司（常青股份），实控人为自然人，属于大型民营企业。,汽车零部件制造,未知,未知,未知,未知,未知,吴应宏,中国,2024,1,签劳动合同形式就业
合肥明信软件技术有限公司,中小民企,高,自然人控股的软件技术公司，规模较小，属于中小民营企业。,软件和信息技术服务,未知,未知,未知,未知,未知,未知,未知,2024,1,签劳动合同形式就业
合肥晶合集成电路股份有限公司,大型民企,高,科创板上市公司（晶合集成），股权分散，无实际控制人，属于大型民营企业。,集成电路制造,未知,未知,未知,未知,未知,无实际控制人,不适用,2023,4,签就业协议形式就业
合肥森鑫商务有限公司,中小民企,高,自然人控股的商务服务公司，规模较小，属于中小民营企业。,商务服务,未知,未知,未知,未知,未知,未知,未知,2023,2,签就业协议形式就业
合肥海天电子科技有限公司,中小民企,高,自然人控股的电子科技公司，规模较小，属于中小民营企业。,电子科技,未知,未知,未知,未知,未知,未知,未知,2023,1,签劳动合同形式就业
合肥瑞纳智能能源管理有限公司,大型民企,高,上市公司瑞纳智能（301129）的全资子公司，属于大型民营企业。,智慧供热与能源管理,未知,未知,未知,未知,未知,于大永,中国,2024,1,签劳动合同形式就业
合肥研力电子科技有限公司,中小民企,高,自然人控股的电子科技公司，规模较小，属于中小民营企业。,电子科技,未知,未知,未知,未知,未知,未知,未知,2024,1,签劳动合同形式就业
合肥福标汽车科技有限公司,中小民企,高,自然人控股的汽车科技公司，规模较小，属于中小民营企业。,汽车科技,未知,未知,未知,未知,未知,未知,未知,2023,1,签劳动合同形式就业
合肥美亚光电技术股份有限公司,大型民企,高,A股上市公司，主营光电检测设备，实控人为田明，属于大型民营企业。,光电检测设备制造,约50亿元,约40亿元,约7亿元,未知,2023,田明,中国,2024,1,签就业协议形式就业
合肥艾迪康医学检验实验室有限公司,大型民企,高,艾迪康医学检验中心旗下子公司，艾迪康为大型民营连锁医学检验机构。,医学检验服务,未知,未知,未知,未知,未知,未知,未知,2024,1,签劳动合同形式就业
合肥超旭机电设备有限公司,中小民企,高,小微企业，注册资本较小，无公开上市信息，属于中小民营企业。,机电设备销售,未知,未知,未知,未知,未知,未知,未知,2023,2,签劳动合同形式就业
合肥通富微电子有限公司,大型民企,高,通富微电（002156）子公司，通富微电为大型民营集成电路封装测试企业。,集成电路封装测试,未知,未知,未知,未知,未知,石明达,中国,2023,1,签劳动合同形式就业
合肥鑫晟光电科技有限公司,大型民企,高,京东方（BOE）旗下子公司，京东方为大型民营显示面板企业。,显示面板制造,未知,未知,未知,未知,未知,王东升,中国,"2023,2024",2,签就业协议形式就业
合肥龙虓科技技术有限公司,中小民企,高,小微企业，无公开上市信息，属于中小民营企业。,科技服务,未知,未知,未知,未知,未知,未知,未知,2023,1,签劳动合同形式就业
吴江市中泰建筑工程有限公司,中小民企,高,地方性建筑企业，无公开上市信息，属于中小民营企业。,建筑工程,未知,未知,未知,未知,未知,未知,未知,2023,1,签就业协议形式就业
和县三国城教育咨询有限公司,中小民企,高,小微企业，从事教育咨询，无公开上市信息，属于中小民营企业。,教育咨询,未知,未知,未知,未知,未知,未知,未知,2023,1,签劳动合同形式就业
唐山曹妃甸金熊置业有限公司,中小民企,中,名称含置业，推测为民营房地产企业，规模较小。,房地产,未知,未知,未知,未知,未知,未知,未知,2023,1,签就业协议形式就业
喀什宝润环保电力有限公司,中小民企,中,名称含环保电力，推测为民营环保能源企业，规模较小。,环保电力,未知,未知,未知,未知,未知,未知,未知,2023,1,签劳动合同形式就业
善诚科技发展（合肥）有限公司,中小民企,中,名称含科技发展，推测为民营科技企业，规模较小。,科技服务,未知,未知,未知,未知,未知,未知,未知,2023,1,签就业协议形式就业
四川师范大学,高校/升学,高,毕业去向或单位名称指向升学/高校,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,2024,1,境内升学
国家税务总局湖北省税务局,机关事业单位/基层项目,高,毕业去向为基层项目,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,2024,1,地方基层项目
国汽朴津智能科技（安庆）有限公司,中小民企,中,名称含智能科技，推测为民营智能科技企业，规模较小。,智能科技,未知,未知,未知,未知,未知,未知,未知,2024,1,签就业协议形式就业
国网安徽省电力有限公司凤台县供电公司,国企,高,国网安徽省电力有限公司下属县级供电公司，属于国有企业。,电力供应,未知,未知,未知,未知,未知,不适用,不适用,2024,1,签就业协议形式就业
国网安徽省电力有限公司利辛县供电公司,国企,高,国网安徽省电力有限公司下属县级供电公司，属于国有企业。,电力供应,未知,未知,未知,未知,未知,不适用,不适用,"2023,2024",2,签就业协议形式就业
国网安徽省电力有限公司固镇县供电公司,国企,高,国网安徽省电力有限公司下属县级供电公司，属于国有企业。,电力供应,未知,未知,未知,未知,未知,不适用,不适用,2024,1,签就业协议形式就业
国网安徽省电力有限公司宿松县供电公司,国企,高,国网安徽省电力有限公司下属县级供电公司，属于国有企业。,电力供应,未知,未知,未知,未知,未知,不适用,不适用,2023,1,签就业协议形式就业
国网安徽省电力有限公司寿县供电公司,国企,高,国家电网有限公司下属企业，属于国有企业。,电力供应,未知,未知,未知,未知,未知,不适用,不适用,2023,1,签就业协议形式就业
国网安徽省电力有限公司岳西县供电公司,国企,高,国家电网有限公司下属企业，属于国有企业。,电力供应,未知,未知,未知,未知,未知,不适用,不适用,2023,1,签就业协议形式就业
国网安徽省电力有限公司灵璧县供电公司,国企,高,国家电网有限公司下属企业，属于国有企业。,电力供应,未知,未知,未知,未知,未知,不适用,不适用,2023,1,签就业协议形式就业
国网安徽省电力有限公司霍邱县供电公司,国企,高,国家电网有限公司下属企业，属于国有企业。,电力供应,未知,未知,未知,未知,未知,不适用,不适用,2023,1,签就业协议形式就业
国网安徽省电力有限公司黄山市黄山区供电公司,国企,高,国家电网有限公司下属企业，属于国有企业。,电力供应,未知,未知,未知,未知,未知,不适用,不适用,2023,1,签就业协议形式就业
国网河南省电力公司西峡县供电公司,国企,高,国家电网有限公司下属企业，属于国有企业。,电力供应,未知,未知,未知,未知,未知,不适用,不适用,2024,1,签就业协议形式就业
国网浙江省电力有限公司丽水供电公司,国企,高,国家电网有限公司下属企业，属于国有企业。,电力供应,未知,未知,未知,未知,未知,不适用,不适用,2023,1,签就业协议形式就业
国能神皖池州发电有限责任公司,国企,高,国家能源投资集团有限责任公司下属企业，属于国有企业。,火力发电,未知,未知,未知,未知,未知,不适用,不适用,2023,1,签劳动合同形式就业
国能蚌埠发电有限公司,国企,高,国家能源投资集团旗下企业，属于中央国有企业。,电力/热力生产和供应业,未知,未知,未知,未知,未知,不适用,不适用,2024,1,签就业协议形式就业
外企德科人力资源服务安徽有限公司,外企,高,由外企德科（FESCO Adecco）与安徽方面合资，外企德科为中外合资人力资源服务企业。,人力资源服务,未知,未知,未知,未知,未知,未知,未知,2024,1,签劳动合同形式就业
大秦铁路股份有限公司,国企,高,中国国家铁路集团有限公司控股的上市公司，属于中央国有企业。,铁路运输业,约2070亿元,约1470亿元,约119亿元,未知,2023,不适用,不适用,2024,1,签就业协议形式就业
