单位名称,类别,置信度,理由,行业,最近年度总资产,净资产,年度净利润,净现金流,财务数据年份,实控人姓名,实控人国籍,出现年份,出现次数,毕业去向样例
南京文熙之星信息科技有限公司,中小民企,中,名称含'文熙之星信息科技'，无国资或外资背景，推测为民营中小企业。,信息科技,未知,未知,未知,未知,未知,未知,未知,2024,2,签就业协议形式就业
南京晟铭机械有限公司,中小民企,中,名称含'晟铭机械'，无国资或外资背景，推测为民营中小企业。,机械制造,未知,未知,未知,未知,未知,未知,未知,2023,1,签劳动合同形式就业
南京普计信息科技有限公司,中小民企,中,名称含'科技'且无国资背景，通常为中小型民营企业。,信息技术服务,未知,未知,未知,未知,未知,未知,未知,2023,1,签劳动合同形式就业
南京清铭宇自控科技有限公司,中小民企,中,名称含'自控科技'且无国资背景，通常为中小型民营企业。,工业自动控制系统装置制造,未知,未知,未知,未知,未知,未知,未知,2024,1,签劳动合同形式就业
南京瑞爱捷制冷设备有限公司,中小民企,中,名称含'制冷设备'且无国资背景，通常为中小型民营企业。,制冷设备制造,未知,未知,未知,未知,未知,未知,未知,2024,1,签就业协议形式就业
南京翰海教育咨询有限公司,中小民企,中,名称含'教育咨询'且无国资背景，通常为中小型民营企业。,教育咨询,未知,未知,未知,未知,未知,未知,未知,2024,2,签就业协议形式就业
南京鼎臻自动化科技有限公司,中小民企,中,名称含'自动化科技'且无国资背景，通常为中小型民营企业。,工业自动化,未知,未知,未知,未知,未知,未知,未知,2023,1,签劳动合同形式就业
南通常测机电设备有限公司,中小民企,中,名称含'机电设备'且无国资背景，通常为中小型民营企业。,机电设备制造,未知,未知,未知,未知,未知,未知,未知,2023,1,签劳动合同形式就业
博利德自动化系统（上海）有限公司,外企,中,名称含'（上海）'且为自动化系统，可能为外资企业。,工业自动化,未知,未知,未知,未知,未知,未知,未知,2024,1,签就业协议形式就业
博瑞特热能设备股份有限公司,中小民企,中,股份有限公司，非上市，规模较小，无国资背景，属民营中小企业。,热能设备制造,未知,未知,未知,未知,未知,未知,未知,2024,1,签就业协议形式就业
博讯光电科技（合肥）有限公司,中小民企,中,有限责任公司，非上市，规模较小，无国资背景，属民营中小企业。,光电科技,未知,未知,未知,未知,未知,未知,未知,2023,1,签就业协议形式就业
台州如水环保科技有限公司,中小民企,中,有限责任公司，非上市，规模较小，无国资背景，属民营中小企业。,环保科技,未知,未知,未知,未知,未知,未知,未知,2024,1,签就业协议形式就业
台州畅行轨道交通运营管理有限公司,国企,中,轨道交通运营管理公司，通常由地方政府或国企控股，属国有企业。,轨道交通运营,未知,未知,未知,未知,未知,不适用,不适用,2023,1,签劳动合同形式就业
台州菲尼科斯电气科技有限公司,中小民企,中,有限责任公司，非上市，规模较小，无国资背景，属民营中小企业。,电气科技,未知,未知,未知,未知,未知,未知,未知,2024,1,签就业协议形式就业
合肥中科信息工程技工学校,其他/无法判断,中,技工学校，可能为民办或公办，但非高校/升学，无法明确归类。,不适用,不适用,不适用,不适用,不适用,不适用,不适用,不适用,2024,1,签就业协议形式就业
合肥九章云科技有限公司,中小民企,中,有限责任公司，非上市，规模较小，无国资背景，属民营中小企业。,云计算/科技,未知,未知,未知,未知,未知,未知,未知,2024,1,签就业协议形式就业
合肥同智机电控制技术股份有限公司,大型民企,中,该公司为民营军工电子企业，曾为上市公司，后由国资背景企业控股，但根据常见公开信息，其企业所有制仍属民营。,军工电子,未知,未知,未知,未知,未知,未知,未知,2023,1,签劳动合同形式就业
唐山曹妃甸金熊置业有限公司,中小民企,中,名称含置业，推测为民营房地产企业，规模较小。,房地产,未知,未知,未知,未知,未知,未知,未知,2023,1,签就业协议形式就业
喀什宝润环保电力有限公司,中小民企,中,名称含环保电力，推测为民营环保能源企业，规模较小。,环保电力,未知,未知,未知,未知,未知,未知,未知,2023,1,签劳动合同形式就业
善诚科技发展（合肥）有限公司,中小民企,中,名称含科技发展，推测为民营科技企业，规模较小。,科技服务,未知,未知,未知,未知,未知,未知,未知,2023,1,签就业协议形式就业
国汽朴津智能科技（安庆）有限公司,中小民企,中,名称含智能科技，推测为民营智能科技企业，规模较小。,智能科技,未知,未知,未知,未知,未知,未知,未知,2024,1,签就业协议形式就业
天津莫希旅游咨询服务有限公司,中小民企,中,名称显示为旅游咨询服务公司，无公开信息表明为国企或外企，推测为中小型民营企业。,旅游咨询服务,未知,未知,未知,未知,未知,未知,未知,2024,1,签就业协议形式就业
天长市双丰文化用品有限公司,中小民企,中,名称显示为文化用品制造企业，位于天长市，无公开信息表明为国企或外企，推测为中小型民营企业。,文教、工美、体育和娱乐用品制造业,未知,未知,未知,未知,未知,未知,未知,2024,1,签劳动合同形式就业
天长市星瑞实验仪器有限公司,中小民企,中,名称显示为实验仪器制造企业，位于天长市，无公开信息表明为国企或外企，推测为中小型民营企业。,仪器仪表制造业,未知,未知,未知,未知,未知,未知,未知,2023,1,签劳动合同形式就业
天长泛美航空中等职业技术学校有限公司,中小民企,中,名称显示为营利性民办中等职业技术学校，由企业举办，推测为中小型民营企业。,教育,未知,未知,未知,未知,未知,未知,未知,2023,2,签劳动合同形式就业
安庆联动属具股份有限公司,大型民企,中,该公司为叉车属具制造商，曾在新三板挂牌，属于民营股份制企业，规模较大。,机械制造,未知,未知,未知,未知,未知,未知,未知,2023,1,签就业协议形式就业
安徽东耘智能设备制造有限责任公司,中小民企,中,从名称判断为智能设备制造领域的有限责任公司，规模可能为中小型民营企业。,智能设备制造,未知,未知,未知,未知,未知,未知,未知,2024,1,签就业协议形式就业
安徽中源共创电力工程有限公司,中小民企,中,从名称判断为电力工程领域的有限责任公司，规模可能为中小型民营企业。,电力工程,未知,未知,未知,未知,未知,未知,未知,2024,1,签就业协议形式就业
安徽九州天极之光股份有限公司,中小民企,中,从名称判断为股份有限公司，可能为中小型民营企业，具体信息未知。,未知,未知,未知,未知,未知,未知,未知,未知,2023,1,签就业协议形式就业
安徽亿农农业科技开发有限公司,中小民企,中,从名称判断为农业科技开发领域的有限责任公司，规模可能为中小型民营企业。,农业科技,未知,未知,未知,未知,未知,未知,未知,2023,1,签劳动合同形式就业
安徽众鑫科技股份有限公司,中小民企,中,从名称判断为科技领域的股份有限公司，可能为中小型民营企业，具体信息未知。,科技,未知,未知,未知,未知,未知,未知,未知,2023,1,签劳动合同形式就业
安徽优奇人力资源管理有限公司,中小民企,中,从名称判断为人力资源管理服务领域的有限责任公司，规模可能为中小型民营企业。,人力资源服务,未知,未知,未知,未知,未知,未知,未知,2024,1,签就业协议形式就业
安徽佳苑文化发展有限公司,中小民企,中,名称含'文化发展'，无国资背景，推测为中小型民营企业。,文化,未知,未知,未知,未知,未知,未知,未知,2024,2,签就业协议形式就业
安徽依泉建设工程有限公司,中小民企,中,名称含'建设工程'，无国资背景，推测为中小型民营企业。,建筑,未知,未知,未知,未知,未知,未知,未知,2024,4,签就业协议形式就业
安徽创立煤矿机械有限公司,中小民企,中,名称含'煤矿机械'，无国资背景，推测为中小型民营企业。,机械制造,未知,未知,未知,未知,未知,未知,未知,2023,3,签就业协议形式就业
安徽加推信息科技有限公司,中小民企,中,名称含'信息科技'，无国资背景，推测为中小型民营企业。,信息技术,未知,未知,未知,未知,未知,未知,未知,2023,3,签就业协议形式就业
安徽千谷文化科技有限公司,中小民企,中,名称含'文化科技'，无国资背景，推测为中小型民营企业。,文化科技,未知,未知,未知,未知,未知,未知,未知,"2023,2024",4,签就业协议形式就业
安徽华明航空电子系统有限公司,国企,中,名称含'航空电子'，可能为国有控股企业，但具体股权结构未知。,航空电子,未知,未知,未知,未知,未知,不适用,不适用,2024,1,签就业协议形式就业
安徽卡旺卡餐饮有限公司,中小民企,中,安徽本土连锁餐饮企业，非上市，规模未公开，按中小民企归类。,餐饮,未知,未知,未知,未知,未知,未知,未知,2024,1,签就业协议形式就业
安徽唐兴装备科技股份有限公司,中小民企,中,非上市装备制造企业，规模未公开，按中小民企归类。,装备制造,未知,未知,未知,未知,未知,未知,未知,2023,2,签就业协议形式就业
安徽嘉华教育科技有限公司,中小民企,中,名称含教育科技，通常为民营教育服务企业，规模未公开。,教育科技,未知,未知,未知,未知,未知,未知,未知,2024,3,签就业协议形式就业
安徽嘉葆电气有限公司,中小民企,中,电气设备类有限公司，非上市，规模未公开，按中小民企归类。,电气设备,未知,未知,未知,未知,未知,未知,未知,2024,1,签劳动合同形式就业
安徽国科环保设备制造有限公司,中小民企,中,环保设备制造类有限公司，非上市，规模未公开，按中小民企归类。,环保设备制造,未知,未知,未知,未知,未知,未知,未知,2023,1,签劳动合同形式就业
安徽声谷智能科技有限公司,中小民企,中,智能科技类有限公司，非上市，规模未公开，按中小民企归类。,智能科技,未知,未知,未知,未知,未知,未知,未知,"2023,2024",6,签劳动合同形式就业 / 签就业协议形式就业
安徽天康（集团）股份有限公司,大型民企,中,安徽天康集团为知名民营仪器仪表/电缆企业集团，规模较大，按大型民企归类。,仪器仪表、电缆,未知,未知,未知,未知,未知,未知,未知,2023,1,签劳动合同形式就业
安徽宇宙建筑工程有限公司,中小民企,中,名称含'建筑工程'且无国企/外企特征，通常为中小型民营建筑企业。,建筑装饰、装修和其他建筑业,未知,未知,未知,未知,未知,未知,未知,2023,1,签就业协议形式就业
安徽宸燕信息技术有限公司,中小民企,中,名称含'信息技术'且无国企/外企特征，通常为中小型民营科技企业。,软件和信息技术服务业,未知,未知,未知,未知,未知,未知,未知,2023,2,签劳动合同形式就业 / 签就业协议形式就业
安徽山河药用辅料股份有限公司,大型民企,中,名称含'股份有限公司'且为药用辅料行业知名企业，通常为大型民营上市公司。,医药制造业（药用辅料）,未知,未知,未知,未知,未知,未知,未知,2023,1,签就业协议形式就业
安徽工驰股份有限公司,大型民企,中,名称含'股份有限公司'且无国企/外企特征，通常为大型民营股份制企业。,未知,未知,未知,未知,未知,未知,未知,未知,2023,1,签劳动合同形式就业
安徽帕维尔智能技术有限公司,中小民企,中,名称含'智能技术'且无国企/外企特征，通常为中小型民营科技企业。,研究和试验发展/智能技术,未知,未知,未知,未知,未知,未知,未知,2023,1,签劳动合同形式就业
安徽康喆建筑工程有限公司,中小民企,中,名称含'建筑工程'且无国企/外企特征，通常为中小型民营建筑企业。,建筑装饰、装修和其他建筑业,未知,未知,未知,未知,未知,未知,未知,2024,4,签就业协议形式就业
安徽徽皖互联网科技有限公司,中小民企,中,名称含'互联网科技'且无国企/外企特征，通常为中小型民营互联网企业。,互联网和相关服务,未知,未知,未知,未知,未知,未知,未知,2023,1,签劳动合同形式就业
安徽思域智能科技有限公司,中小民企,中,名称含'智能科技'且无国企/外企特征，通常为中小型民营科技企业。,研究和试验发展/智能科技,未知,未知,未知,未知,未知,未知,未知,2024,1,签就业协议形式就业
安徽慧盈智能装备股份有限公司,中小民企,中,公司名称含'智能装备'且为股份有限公司，无国资背景信息，推测为中小型民营企业。,智能装备制造,未知,未知,未知,未知,未知,未知,未知,2023,1,签劳动合同形式就业
安徽拓扑思汽车零部件有限公司,中小民企,中,公司名称含'汽车零部件'且为有限公司，无国资背景信息，推测为中小型民营企业。,汽车零部件制造,未知,未知,未知,未知,未知,未知,未知,2024,1,签劳动合同形式就业
安徽明讯新材料科技股份有限公司,中小民企,中,公司名称含'新材料科技'且为股份有限公司，无国资背景信息，推测为中小型民营企业。,新材料科技,未知,未知,未知,未知,未知,未知,未知,2023,1,签劳动合同形式就业
安徽昱升光电科技有限公司,中小民企,中,公司名称含'光电科技'且为有限公司，无国资背景信息，推测为中小型民营企业。,光电科技,未知,未知,未知,未知,未知,未知,未知,2023,1,签劳动合同形式就业
安徽智捷电子科技有限公司,中小民企,中,公司名称含'电子科技'且为有限公司，无国资背景信息，推测为中小型民营企业。,电子科技,未知,未知,未知,未知,未知,未知,未知,2024,1,签就业协议形式就业
安徽江淮智能科技有限公司,国企,中,名称含'江淮'，与安徽江淮汽车集团股份有限公司关联，后者为地方国有企业，推测为国企。,智能科技,未知,未知,未知,未知,未知,不适用,不适用,2024,1,签就业协议形式就业
安徽润康橡塑科技股份有限公司,中小民企,中,公司名称含'橡塑科技'且为股份有限公司，无国资背景信息，推测为中小型民营企业。,橡塑科技,未知,未知,未知,未知,未知,未知,未知,2023,1,签劳动合同形式就业
安徽潘奇拉贸易有限公司,中小民企,中,名称含“贸易”，无国资背景信息，推测为中小型民营企业。,批发和零售业,未知,未知,未知,未知,未知,未知,未知,2023,2,签就业协议形式就业
安徽点宇新材料科技有限公司,中小民企,中,名称含“新材料科技”，无国资背景信息，推测为中小型民营企业。,新材料技术推广服务,未知,未知,未知,未知,未知,未知,未知,2023,2,签劳动合同形式就业 / 签就业协议形式就业
安徽瑞柏新材料有限公司,中小民企,中,名称含“新材料”，无国资背景信息，推测为中小型民营企业。,新材料技术推广服务,未知,未知,未知,未知,未知,未知,未知,2023,1,签劳动合同形式就业
安徽瑞致科技有限公司,中小民企,中,名称含“科技”，无国资背景信息，推测为中小型民营企业。,科技推广和应用服务业,未知,未知,未知,未知,未知,未知,未知,2024,3,签就业协议形式就业
安徽相达轻合金科技有限公司,中小民企,中,名称含“轻合金科技”，无国资背景信息，推测为中小型民营企业。,有色金属合金制造,未知,未知,未知,未知,未知,未知,未知,2024,1,签就业协议形式就业
安徽省君本教育科技有限公司,中小民企,中,名称含“教育科技”，无国资背景信息，推测为中小型民营企业。,教育辅助服务,未知,未知,未知,未知,未知,未知,未知,2024,1,签就业协议形式就业
安徽省民化工程设计有限公司,中小民企,中,名称含“工程设计”，无国资背景信息，推测为中小型民营企业。,专业技术服务业,未知,未知,未知,未知,未知,未知,未知,2023,1,签劳动合同形式就业
安徽省水利水电工程检测有限公司,国企,中,名称含'安徽省'且为水利水电工程检测企业，通常为国有独资或控股。,水利水电工程检测,未知,未知,未知,未知,未知,不适用,不适用,2023,1,签劳动合同形式就业
安徽省鸿联九五信息产业有限公司,大型民企,中,鸿联九五为中信国安旗下企业，但该公司可能为民营控股，规模较大。,信息产业/呼叫中心,未知,未知,未知,未知,未知,未知,未知,2023,1,签劳动合同形式就业
安徽磐熠智能科技有限公司,中小民企,中,名称含'智能科技'，通常为民营中小型企业。,智能科技,未知,未知,未知,未知,未知,未知,未知,2024,3,签就业协议形式就业
安徽祥源科技股份有限公司,中小民企,中,股份有限公司，非上市，通常为民营中小型企业。,科技,未知,未知,未知,未知,未知,未知,未知,2023,1,签劳动合同形式就业
安徽红星机电科技股份有限公司,军工,中,名称含'红星机电'，可能涉及军工机电产品，但需进一步确认。,军工机电,未知,未知,未知,未知,未知,不适用,不适用,2023,1,签劳动合同形式就业
安徽绿沃循环能源科技有限公司,中小民企,中,名称含'循环能源科技'，通常为民营中小型企业。,循环能源科技,未知,未知,未知,未知,未知,未知,未知,2024,1,签就业协议形式就业
安徽薪火智能装备有限公司,中小民企,中,名称显示为智能装备领域的中小民营企业。,智能装备,未知,未知,未知,未知,未知,未知,未知,2023,2,签劳动合同形式就业 / 签就业协议形式就业
安徽西恩循环科技有限公司,中小民企,中,名称显示为循环科技领域的中小民营企业。,循环科技,未知,未知,未知,未知,未知,未知,未知,2023,1,签劳动合同形式就业
安徽达因汽车空调有限公司,中小民企,中,名称显示为汽车空调领域的中小民营企业。,汽车空调,未知,未知,未知,未知,未知,未知,未知,2023,1,签劳动合同形式就业
安徽达必立新能源科技有限公司,中小民企,中,名称显示为新能源科技领域的中小民营企业。,新能源科技,未知,未知,未知,未知,未知,未知,未知,2024,1,签就业协议形式就业
安徽迪鹏电气有限公司,中小民企,中,名称显示为电气领域的中小民营企业。,电气,未知,未知,未知,未知,未知,未知,未知,2024,2,签就业协议形式就业
安徽金浦新能源科技发展有限公司,中小民企,中,名称显示为新能源科技领域的中小民营企业。,新能源科技,未知,未知,未知,未知,未知,未知,未知,2023,1,签就业协议形式就业
安徽金竹生物基新材料有限公司,中小民企,中,名称含'生物基新材料'，推测为中小型民营企业。,生物基材料,未知,未知,未知,未知,未知,未知,未知,2023,1,签就业协议形式就业
安徽金色梧桐建筑智能化工程有限公司,中小民企,中,名称含'建筑智能化工程'，推测为中小型民营企业。,建筑智能化工程,未知,未知,未知,未知,未知,未知,未知,2024,3,签就业协议形式就业
安徽金轩科技有限公司,中小民企,中,名称含'科技'，推测为中小型民营企业。,科技,未知,未知,未知,未知,未知,未知,未知,"2023,2024",11,签劳动合同形式就业 / 签就业协议形式就业
安徽雷鼎电子科技有限公司,中小民企,中,名称含'电子科技'，推测为中小型民营企业。,电子科技,未知,未知,未知,未知,未知,未知,未知,2024,1,签劳动合同形式就业
宣城市上海南大蓝天电缆有限责任公司,中小民企,中,名称含'电缆'，推测为中小型民营企业。,电缆制造,未知,未知,未知,未知,未知,未知,未知,2023,1,签就业协议形式就业
宣城市私立文鼎中学,中小民企,中,名称含“私立”，推测为民办学校，通常登记为民办非企业单位或企业，按中小民企归类。,教育,未知,未知,未知,未知,未知,未知,未知,2024,1,签就业协议形式就业
宣城阳光电力维修工程有限责任公司郎溪阳光维修分公司,国企,中,名称含“阳光电力”，可能为电力系统集体企业或国企下属公司，按国企归类。,电力维修工程,未知,未知,未知,未知,未知,不适用,不适用,2024,1,签就业协议形式就业
宿州市埇桥区英华高级中学,中小民企,中,民办高级中学，推测为民办非企业单位或企业，按中小民企归类。,教育,未知,未知,未知,未知,未知,未知,未知,2024,1,签就业协议形式就业
富维东阳汽车零部件（安徽）有限公司,国企,中,名称含“富维东阳”，富维股份为国企背景，推测为国企控股企业。,汽车零部件制造,未知,未知,未知,未知,未知,不适用,不适用,2024,2,签劳动合同形式就业
山东卓尔人力资源管理有限公司,中小民企,中,名称含'人力资源管理'，通常为民营人力资源服务公司，规模较小。,人力资源服务,未知,未知,未知,未知,未知,未知,未知,2023,1,签就业协议形式就业
山东西威讯智能科技有限公司,中小民企,中,名称含'智能科技'，通常为民营科技型中小企业。,智能科技,未知,未知,未知,未知,未知,未知,未知,"2023,2024",5,签就业协议形式就业
山西永安煤矿设计咨询有限公司,中小民企,中,名称含'煤矿设计咨询'，通常为民营设计咨询类中小企业。,煤矿设计咨询,未知,未知,未知,未知,未知,未知,未知,2024,2,签就业协议形式就业
山西省阳泉市五金矿产进出口有限公司,中小民企,中,名称含'进出口'，通常为地方民营外贸企业，规模较小。,五金矿产进出口,未知,未知,未知,未知,未知,未知,未知,2023,1,签劳动合同形式就业
常州博蕴车业有限公司,中小民企,中,名称含'车业'，通常为民营车辆制造或销售企业，规模较小。,车辆制造/销售,未知,未知,未知,未知,未知,未知,未知,2023,1,签就业协议形式就业
常州恩都法新能源汽车科技有限公司,中小民企,中,名称含'新能源汽车科技'，通常为民营新能源汽车零部件或技术企业，规模较小。,新能源汽车科技,未知,未知,未知,未知,未知,未知,未知,2023,1,签就业协议形式就业
常州海图信息科技股份有限公司,中小民企,中,公司名称含'信息科技'且为股份有限公司，未上市，推测为中小型民营企业。,信息技术服务,未知,未知,未知,未知,未知,未知,未知,2024,1,签就业协议形式就业
平安开诚智能安全装备有限责任公司,中小民企,中,公司名称含'智能安全装备'，有限责任公司，推测为中小型民营企业。,专用设备制造,未知,未知,未知,未知,未知,未知,未知,2023,1,签劳动合同形式就业
平湖普英特高层设备有限公司,中小民企,中,公司名称含'高层设备'，有限责任公司，推测为中小型民营企业。,专用设备制造,未知,未知,未知,未知,未知,未知,未知,2024,1,签就业协议形式就业
广州仕邦人力资源有限公司,中小民企,中,公司名称含'人力资源'，有限责任公司，推测为中小型民营企业。,人力资源服务,未知,未知,未知,未知,未知,未知,未知,2024,1,签劳动合同形式就业
广州创天电子机械有限公司,中小民企,中,公司名称含'电子机械'，有限责任公司，推测为中小型民营企业。,电子机械制造,未知,未知,未知,未知,未知,未知,未知,2023,1,签就业协议形式就业
广州市浩福房地产咨询有限公司,中小民企,中,公司名称含'房地产咨询'，有限责任公司，推测为中小型民营企业。,房地产咨询,未知,未知,未知,未知,未知,未知,未知,2024,1,签就业协议形式就业
广德绿松科技集团股份有限公司,中小民企,中,公司名称含'科技集团'且为股份有限公司，未上市，推测为中小型民营企业。,科技推广和应用服务,未知,未知,未知,未知,未知,未知,未知,2024,2,签就业协议形式就业
广德龙导影视传媒有限公司,中小民企,中,名称显示为影视传媒类有限责任公司，无国资或外资背景，规模较小，属中小民企。,影视传媒,未知,未知,未知,未知,未知,未知,未知,2024,1,签就业协议形式就业
广西骏安检测有限公司,中小民企,中,名称显示为检测类有限责任公司，无国资或外资背景，规模较小，属中小民企。,检测服务,未知,未知,未知,未知,未知,未知,未知,2023,1,签就业协议形式就业
思看科技(杭州)股份有限公司,大型民企,中,思看科技为科创板上市三维视觉数字化企业，实际控制人为自然人，属大型民企。,三维视觉数字化,约10亿元,约8亿元,约1亿元,未知,2023,未知,中国,2024,1,签就业协议形式就业
成都以梦为马科技有限公司,中小民企,中,名称显示为科技类有限责任公司，无国资或外资背景，规模较小，属中小民企。,科技服务,未知,未知,未知,未知,未知,未知,未知,2024,1,签劳动合同形式就业
新黎明科技股份有限公司,中小民企,中,公司名称含'科技股份'，但未上市，规模较小，疑似民营中小企业。,科技推广和应用服务业,未知,未知,未知,未知,未知,未知,未知,2023,13,签劳动合同形式就业 / 签就业协议形式就业
日达智造科技（如皋）有限公司,大型民企,中,日达智造为立讯精密旗下企业，立讯精密为大型民企，故归类为大型民企。,智能制造,未知,未知,未知,未知,未知,王来春,中国,2024,1,签劳动合同形式就业
昆明海创环保科技有限责任公司,中小民企,中,名称含'海创环保'，疑似海螺创业旗下环保科技公司，但具体股权结构未知，按中小民企处理。,环保科技,未知,未知,未知,未知,未知,未知,未知,2023,1,签劳动合同形式就业
昌辉汽车电器（黄山）股份公司,中小民企,中,汽车电器零部件企业，非上市股份公司，规模未公开，按中小民企处理。,汽车零部件,未知,未知,未知,未知,未知,未知,未知,2023,3,签劳动合同形式就业
星恒电源股份有限公司,大型民企,中,知名动力锂电池企业，曾申报IPO，规模较大，按大型民企处理。,锂电池,未知,未知,未知,未知,未知,未知,未知,2024,1,签就业协议形式就业
普迈仕精密技术（安徽）有限公司,中小民企,中,精密技术领域有限公司，非上市，规模未知，按中小民企处理。,精密制造,未知,未知,未知,未知,未知,未知,未知,2023,2,签就业协议形式就业
杭州富晟建筑市政工程有限公司,中小民企,中,建筑市政工程类有限公司，非上市，规模未知，按中小民企处理。,建筑市政工程,未知,未知,未知,未知,未知,未知,未知,2024,1,签就业协议形式就业
